Country,PM2_5,Attr_Mort,Region
Armenia,31.9,3644,Central_Asia
Azerbaijan,23.9,8630,Central_Asia
Georgia,17.8,3543,Central_Asia
Kazakhstan,19,10602,Central_Asia
Kyrgyzstan,22.9,3228,Central_Asia
Mongolia,36.7,2885,Central_Asia
Tajikistan,35.9,7288,Central_Asia
Turkmenistan,25.5,3728,Central_Asia
Uzbekistan,32.5,31945,Central_Asia
Albania,19.8,1774,Central_Europe
Bosnia_and_Herzegovina,29.8,4710,Central_Europe
Bulgaria,19.7,9724,Central_Europe
Croatia,18,3134,Central_Europe
Czech_Republic,16.8,6572,Central_Europe
Hungary,16.5,7529,Central_Europe
Macedonia,31.6,3380,Central_Europe
Montenegro,21.6,652,Central_Europe
Poland,22.7,31196,Central_Europe
Romania,15.9,14974,Central_Europe
Serbia,26.5,12615,Central_Europe
Slovakia,18.4,3586,Central_Europe
Slovenia,16.9,857,Central_Europe
Belarus,16.3,8560,Eastern_Europe
Estonia,5.7,98,Eastern_Europe
Latvia,11.7,1023,Eastern_Europe
Lithuania,10.2,1168,Eastern_Europe
Moldova,13.1,2024,Eastern_Europe
Russian_Federation,10.9,64298,Eastern_Europe
Ukraine,14,40682,Eastern_Europe
Australia,7,1757,Australasia
New_Zealand,6.6,333,Australasia
Brunei,7.6,33,High_income_Asia_Pacific
Japan,13.5,42858,High_income_Asia_Pacific
South_Korea,26.6,23414,High_income_Asia_Pacific
Singapore,18.5,1469,High_income_Asia_Pacific
Canada,7.3,3632,High_income_North_America
Greenland,5.3,3,High_income_North_America
United_States,7.8,46035,High_income_North_America
Argentina,13,13619,Southern_Latin_America
Chile,21.9,6199,Southern_Latin_America
Uruguay,9.8,763,Southern_Latin_America
Andorra,8.8,10,Western_Europe
Austria,12.1,2368,Western_Europe
Belgium,12.8,3717,Western_Europe
Cyprus,15.2,392,Western_Europe
Denmark,10.2,1403,Western_Europe
Finland,5.2,254,Western_Europe
France,11.6,13733,Western_Europe
Germany,11.9,27266,Western_Europe
Greece,14.6,5806,Western_Europe
Iceland,5.6,13,Western_Europe
Ireland,7.7,499,Western_Europe
Israel,19.7,2436,Western_Europe
Italy,15.6,25517,Western_Europe
Luxembourg,9.9,85,Western_Europe
