Country,PM2_5,Attr_Mort,Total_Mort,Percent_Attr,Region
Bolivia,26,5522,78000,7.079487179,Andean_Latin_America
Ecuador,18.8,4518,89000,5.076404494,Andean_Latin_America
Peru,29.6,11927,181000,6.589502762,Andean_Latin_America
Antigua_and_Barbuda,16.2,29,1000,2.9,Caribbean
Barbados,19.6,172,3000,5.733333333,Caribbean
Belize,19.3,100,2000,5,Caribbean
Cuba,17.5,6639,104000,6.383653846,Caribbean
Dominican_Republic,16.8,3951,66000,5.986363636,Caribbean
Grenada,19.4,54,1000,5.4,Caribbean
Guyana,20.5,472,6000,7.866666667,Caribbean
Haiti,17.8,4860,95000,5.115789474,Caribbean
Jamaica,15.2,967,22000,4.395454545,Caribbean
Puerto_Rico,7,415,29000,1.431034483,Caribbean
Saint_Lucia,19.4,81,1000,8.1,Caribbean
Saint_Vincent_and_the_Grenadines,19.4,65,1000,6.5,Caribbean
Suriname,21.9,302,4000,7.55,Caribbean
The_Bahamas,13.9,86,3000,2.866666667,Caribbean
Trinidad_and_Tobago,19.5,870,12000,7.25,Caribbean
Virgin_Islands_US,8.8,28,1000,2.8,Caribbean
Armenia,31.9,3644,29000,12.56551724,Central_Asia
Azerbaijan,23.9,8630,68000,12.69117647,Central_Asia
Georgia,17.8,3543,51000,6.947058824,Central_Asia
Kazakhstan,19,10602,131000,8.093129771,Central_Asia
Kyrgyzstan,22.9,3228,38000,8.494736842,Central_Asia
Mongolia,36.7,2885,20000,14.425,Central_Asia
Tajikistan,35.9,7288,44000,16.56363636,Central_Asia
Turkmenistan,25.5,3728,42000,8.876190476,Central_Asia
Uzbekistan,32.5,31945,190000,16.81315789,Central_Asia
Albania,19.8,1774,23000,7.713043478,Central_Europe
Bosnia_and_Herzegovina,29.8,4710,36000,13.08333333,Central_Europe
Bulgaria,19.7,9724,108000,9.003703704,Central_Europe
Croatia,18,3134,55000,5.698181818,Central_Europe
Czech_Republic,16.8,6572,113000,5.815929204,Central_Europe
Hungary,16.5,7529,122000,6.171311475,Central_Europe
Macedonia,31.6,3380,21000,16.0952381,Central_Europe
Montenegro,21.6,652,7000,9.314285714,Central_Europe
Poland,22.7,31196,388000,8.040206186,Central_Europe
Romania,15.9,14974,255000,5.872156863,Central_Europe
Serbia,26.5,12615,116000,10.875,Central_Europe
Slovakia,18.4,3586,54000,6.640740741,Central_Europe
Slovenia,16.9,857,21000,4.080952381,Central_Europe
Cyprus,15.2,392,9000,4.355555556,Central_Europe
Costa_Rica,17.3,974,26000,3.746153846,Central_Latin_America
